,Annotation
group03507,None Provided
group03508,hypothetical protein
group03509,GTP-binding and nucleic acid-binding protein YchF
group03510,None Provided
group03511,None Provided
group03512,None Provided
group03513,None Provided
group03514,None Provided
group03515,None Provided
group03516,Citrate synthase (si) (EC 2.3.3.1)
group03517,None Provided
group03518,None Provided
group03519,None Provided
group03520,Acyl-acyl-carrier-protein--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129)
group03521,Putrescine transport system permease protein PotH (TC 3.A.1.11.2)
group03522,None Provided
group03523,hypothetical protein
group03524,None Provided
group03525,Unsaturated glucuronyl hydrolase
group03526,None Provided
group03527,N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)
group03528,hypothetical protein
group03529,None Provided
group03530,None Provided
group03531,None Provided
group03532,hypothetical protein
group03533,None Provided
group03534,None Provided
group03535,hypothetical protein
group03536,None Provided
group03537,hypothetical protein
group03538,None Provided
group03539,None Provided
group03540,None Provided
group03541,hypothetical protein
group03542,NAD-dependent formate dehydrogenase beta subunit
group03543,None Provided
group03544,None Provided
group03545,None Provided
group03546,None Provided
group03547,None Provided
group03548,None Provided
group03549,None Provided
group03550,None Provided
group03551,None Provided
group03552,"Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)"
group03553,DNA polymerase III beta subunit (EC 2.7.7.7)
group03554,None Provided
group03555,hypothetical protein
group03556,None Provided
group03557,None Provided
group03558,None Provided
group03559,Iron-sulfur cluster assembly protein SufD
group03560,None Provided
group03561,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)
group03562,Cysteinyl-tRNA synthetase (EC 6.1.1.16)
group03563,None Provided
group03564,None Provided
group03565,None Provided
group03566,None Provided
group03567,Ribosome recycling factor
group03568,1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)
group03569,Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)
group03570,Peptide deformylase (EC 3.5.1.88)
group03571,Methionyl-tRNA formyltransferase (EC 2.1.2.9)
group03572,None Provided
group03573,None Provided
group03574,None Provided
group03575,None Provided
group03576,Protein-PII uridylyltransferase (EC 2.7.7.59)
group03577,None Provided
group03578,None Provided
group03579,Lipoate synthase
group03580,hypothetical protein
group03581,None Provided
group03582,None Provided
group03583,None Provided
group03584,Malate dehydrogenase (EC 1.1.1.37)
group03585,None Provided
group03586,None Provided
group03587,None Provided
group03588,"UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)"
group03589,None Provided
group03590,None Provided
group03591,None Provided
group03592,hypothetical protein
group03593,"Cysteine desulfurase (EC 2.8.1.7), SufS subfamily"
group03594,None Provided
group03595,Xylulose kinase (EC 2.7.1.17)
group03596,None Provided
group03597,hypothetical protein
group03598,None Provided
group03599,None Provided
group03600,Pyruvate kinase (EC 2.7.1.40)
group03601,None Provided
group03602,None Provided
group03603,None Provided
group03604,None Provided
group03605,NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)
group03606,None Provided
group03607,hypothetical protein
group03608,"SSU ribosomal protein S4p (S9e) @ SSU ribosomal protein S4p (S9e), zinc-dependent"
group03609,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.-)
group03610,Putative membrane protein actII-3
group03611,None Provided
group03612,D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)
group03613,None Provided
group03614,hypothetical protein
group03615,None Provided
group03616,hypothetical protein
group03617,hypothetical protein
group03618,None Provided
group03619,None Provided
group03620,None Provided
group03621,hypothetical protein
group03622,None Provided
group03623,None Provided
group03624,None Provided
group03625,None Provided
group03626,None Provided
group03627,hypothetical protein
group03628,None Provided
group03629,DNA ligase (EC 6.5.1.2)
group03630,Rhamnulokinase (EC 2.7.1.5)
group03631,hypothetical protein
group03632,None Provided
group03633,None Provided
group03634,None Provided
group03635,None Provided
group03636,hypothetical protein
group03637,Cell division protein FtsA
group03638,UDP-3-O-3-hydroxymyristoyl N-acetylglucosamine deacetylase (EC 3.5.1.108)
group03639,ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17)
group03640,Enolase (EC 4.2.1.11)
group03641,ATP-dependent Clp protease ATP-binding subunit ClpX
group03642,hypothetical protein
group03643,None Provided
group03644,hypothetical protein
group03645,hypothetical protein
group03646,None Provided
group03647,"Oxidoreductase, short-chain dehydrogenase/reductase family (EC 1.1.1.-)"
group03648,None Provided
group03649,None Provided
group03650,None Provided
group03651,ATP-dependent DNA helicase UvrD/PcrA
group03652,ATP-dependent DNA helicase UvrD/PcrA
group03653,hypothetical protein
group03654,Translation elongation factor G
group03655,None Provided
group03656,None Provided
group03657,None Provided
group03658,None Provided
group03659,hypothetical protein
group03660,None Provided
group03661,None Provided
group03662,None Provided
group03663,None Provided
group03664,NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)
group03665,None Provided
group03666,putative Glutathione-regulated potassium-efflux system protein KefB
group03667,None Provided
group03668,None Provided
group03669,None Provided
group03670,Argininosuccinate synthase (EC 6.3.4.5)
group03671,None Provided
group03672,None Provided
group03673,None Provided
group03674,None Provided
group03675,None Provided
group03676,NADH dehydrogenase (EC 1.6.99.3)
group03677,DsrC family protein
group03678,None Provided
group03679,None Provided
group03680,hypothetical protein
group03681,"Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly"
group03682,hypothetical protein
group03683,None Provided
group03684,None Provided
group03685,None Provided
group03686,None Provided
group03687,None Provided
group03688,None Provided
group03689,None Provided
group03690,None Provided
group03691,None Provided
group03692,None Provided
group03693,None Provided
group03694,hypothetical protein
group03695,None Provided
group03696,hypothetical protein
group03697,hypothetical protein
group03698,None Provided
group03699,hypothetical protein
group03700,None Provided
group03701,None Provided
group03702,Nitrogen regulatory protein P-II
group03703,hypothetical protein
group03704,None Provided
group03705,None Provided
group03706,hypothetical protein
group03707,None Provided
group03708,None Provided
group03709,None Provided
group03710,hypothetical protein
group03711,hypothetical protein
group03712,hypothetical protein
group03713,UDP-glucose 4-epimerase (EC 5.1.3.2)
group03714,"Ferric iron ABC transporter, iron-binding protein"
group03715,None Provided
group03716,None Provided
group03717,hypothetical protein
group03718,"Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)"
group03719,hypothetical protein
group03720,None Provided
group03721,None Provided
group03722,None Provided
group03723,None Provided
group03724,Coenzyme F390 synthetase
group03725,Acyl protein synthase/acyl-CoA reductase RfbN
group03726,None Provided
group03727,None Provided
group03728,hypothetical protein
group03729,hypothetical protein
group03730,hypothetical protein
group03731,NAD-dependent formate dehydrogenase alpha subunit
group03732,putative dipeptidase
group03733,None Provided
group03734,None Provided
group03735,hypothetical protein
group03736,None Provided
group03737,hypothetical protein
group03738,None Provided
group03739,None Provided
group03740,None Provided
group03741,None Provided
group03742,"Biotin--protein ligase (EC 6.3.4.9, EC 6.3.4.10, EC 6.3.4.11, EC 6.3.4.15)"
group03743,None Provided
group03744,5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)
group03745,None Provided
group03746,None Provided
group03747,None Provided
group03748,Heat shock protein 60 family co-chaperone GroES
group03749,None Provided
group03750,None Provided
group03751,Transketolase (EC 2.2.1.1)
group03752,None Provided
group03753,None Provided
group03754,None Provided
group03755,None Provided
group03756,None Provided
group03757,hypothetical protein
group03758,None Provided
group03759,None Provided
group03760,None Provided
group03761,hypothetical protein
group03762,hypothetical protein
group03763,None Provided
group03764,hypothetical protein
group03765,None Provided
group03766,None Provided
group03767,DedA protein
group03768,None Provided
group03769,None Provided
group03770,hypothetical protein
group03771,None Provided
group03772,None Provided
group03773,Histidine ammonia-lyase (EC 4.3.1.3)
group03774,None Provided
group03775,None Provided
group03776,None Provided
group03777,None Provided
group03778,"Electron transfer flavoprotein, beta subunit"
group03779,None Provided
group03780,None Provided
group03781,SSU ribosomal protein S5p (S2e)
group03782,None Provided
group03783,None Provided
group03784,hypothetical protein
group03785,None Provided
group03786,None Provided
group03787,None Provided
group03788,None Provided
group03789,None Provided
group03790,hypothetical protein
group03791,None Provided
group03792,None Provided
group03793,None Provided
group03794,None Provided
group03795,None Provided
group03796,FIG00460177: hypothetical protein
group03797,hypothetical protein
group03798,None Provided
group03799,hypothetical protein
group03800,"1,4-alpha-glucan branching enzyme (EC 2.4.1.18)"
group03801,None Provided
group03802,None Provided
group03803,"N-Acetyl-D-glucosamine ABC transport system, permease protein 1"
group03804,None Provided
group03805,None Provided
group03806,None Provided
group03807,hypothetical protein
group03808,None Provided
group03809,hypothetical protein
group03810,hypothetical protein
group03811,hypothetical protein
group03812,None Provided
group03813,None Provided
group03814,None Provided
group03815,"MmgE/PrpD family protein, putative"
group03816,"Bona fide RidA/YjgF/TdcF/RutC subgroup, 3 tandem domains"
group03817,None Provided
group03818,None Provided
group03819,hypothetical protein
group03820,None Provided
group03821,None Provided
group03822,None Provided
group03823,None Provided
group03824,None Provided
group03825,hypothetical protein
group03826,None Provided
group03827,hypothetical protein
group03828,None Provided
group03829,hypothetical protein
group03830,None Provided
group03831,hypothetical protein
group03832,None Provided
group03833,None Provided
group03834,None Provided
group03835,hypothetical protein
group03836,FIG00390550: hypothetical protein
group03837,None Provided
group03838,None Provided
group03839,None Provided
group03840,None Provided
group03841,None Provided
group03842,None Provided
group03843,None Provided
group03844,None Provided
group03845,"Endoglucanase C307 precursor (EC 3.2.1.4) (Endo-1,4-beta-glucanase C307) (Cellulase C307)"
group03846,hypothetical protein
group03847,GTP-binding protein HflX
group03848,None Provided
group03849,None Provided
group03850,Phosphoserine aminotransferase (EC 2.6.1.52)
group03851,None Provided
group03852,None Provided
group03853,None Provided
group03854,None Provided
group03855,None Provided
group03856,Chromosome segregation ATPase
group03857,None Provided
group03858,None Provided
group03859,hypothetical protein
group03860,Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.-)
group03861,None Provided
group03862,None Provided
group03863,None Provided
group03864,None Provided
group03865,hypothetical protein
group03866,hypothetical protein
group03867,None Provided
group03868,4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17)
group03869,Glycoprotein gp2
group03870,None Provided
group03871,hypothetical protein
group03872,None Provided
group03873,None Provided
group03874,None Provided
group03875,None Provided
group03876,None Provided
group03877,None Provided
group03878,None Provided
group03879,hypothetical protein
group03880,None Provided
group03881,hypothetical protein
group03882,None Provided
group03883,None Provided
group03884,None Provided
group03885,"internalin, putative"
group03886,hypothetical protein
group03887,Sorbitol-6-phosphate 2-dehydrogenase (EC 1.1.1.140)
group03888,None Provided
group03889,None Provided
group03890,None Provided
group03891,None Provided
group03892,None Provided
group03893,None Provided
group03894,Chromosome segregation ATPase
group03895,hypothetical protein
group03896,None Provided
group03897,A/G-specific adenine glycosylase (EC 3.2.2.-)
group03898,Seryl-tRNA synthetase (EC 6.1.1.11)
group03899,None Provided
group03900,None Provided
group03901,None Provided
group03902,None Provided
group03903,GTP cyclohydrolase I (EC 3.5.4.16) type 1
group03904,None Provided
group03905,None Provided
group03906,None Provided
group03907,None Provided
group03908,None Provided
group03909,None Provided
group03910,None Provided
group03911,hypothetical protein
group03912,None Provided
group03913,hypothetical protein
group03914,hypothetical protein
group03915,None Provided
group03916,hypothetical protein
group03917,Homoserine O-acetyltransferase (EC 2.3.1.31)
group03918,SOS-response repressor and protease LexA (EC 3.4.21.88)
group03919,Lipoprotein signal peptidase (EC 3.4.23.36)
group03920,L-lactate dehydrogenase (EC 1.1.2.3)
group03921,None Provided
group03922,None Provided
group03923,LSU ribosomal protein L35p
group03924,None Provided
group03925,None Provided
group03926,hypothetical protein
group03927,None Provided
group03928,None Provided
group03929,Soluble lytic murein transglycosylase precursor (EC 3.2.1.-)
group03930,ATP synthase beta chain (EC 3.6.3.14)
group03931,Adenosine (5)-pentaphospho-(5)-adenosine pyrophosphohydrolase (EC 3.6.1.-)
group03932,None Provided
group03933,Inositol-1-phosphate synthase (EC 5.5.1.4)
group03934,Topoisomerase IV subunit A (EC 5.99.1.-)
group03935,FIG001196: Membrane protein YedZ
group03936,None Provided
group03937,unknown protein
group03938,None Provided
group03939,Phosphoglycerate kinase (EC 2.7.2.3)
group03940,None Provided
group03941,DNA topoisomerase I (EC 5.99.1.2)
group03942,"Kinase-Associated Endopeptidase (Kae1), required for threonylcarbamoyladenosine t(6)A37 formation in tRNA"
group03943,DNA recombination and repair protein RecF
group03944,None Provided
group03945,"6-phosphogluconate dehydrogenase, NAD-binding"
group03946,hypothetical protein
group03947,"Glycine betaine ABC transport system, ATP-binding protein OpuAA (EC 3.6.3.32)"
group03948,hypothetical protein
group03949,None Provided
group03950,None Provided
group03951,None Provided
group03952,None Provided
group03953,None Provided
group03954,GTP-binding and nucleic acid-binding protein YchF
group03955,"1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)"
group03956,None Provided
group03957,DNA polymerase III subunits gamma and tau (EC 2.7.7.7)
group03958,tRNA-specific adenosine-34 deaminase (EC 3.5.4.-)
group03959,None Provided
group03960,None Provided
group03961,None Provided
group03962,None Provided
group03963,None Provided
group03964,Agmatinase (EC 3.5.3.11)
group03965,None Provided
group03966,Rod shape-determining protein MreB
group03967,NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)
group03968,None Provided
group03969,None Provided
group03970,None Provided
group03971,None Provided
group03972,"Electron transfer flavoprotein, beta subunit"
group03973,LSU ribosomal protein L35p
group03974,None Provided
group03975,hypothetical protein
group03976,None Provided
group03977,None Provided
group03978,"Potassium voltage-gated channel subfamily KQT; possible potassium channel, VIC family"
group03979,None Provided
group03980,Cytidine deaminase (EC 3.5.4.5)
group03981,tRNA pseudouridine synthase A (EC 4.2.1.70)
group03982,hypothetical protein
group03983,None Provided
group03984,None Provided
group03985,Transcription termination protein NusA
group03986,"glycosyl transferase, group 1 family protein"
group03987,None Provided
group03988,None Provided
group03989,None Provided
group03990,hypothetical protein
group03991,Aldehyde dehydrogenase (EC 1.2.1.3)
group03992,None Provided
group03993,None Provided
group03994,None Provided
group03995,None Provided
group03996,hypothetical protein
group03997,hypothetical protein
group03998,None Provided
group03999,None Provided
group04000,None Provided
group04001,None Provided
group04002,Aldehyde dehydrogenase (EC 1.2.1.3)
group04003,None Provided
group04004,None Provided
group04005,None Provided
group04006,ATP synthase beta chain (EC 3.6.3.14)
group04007,None Provided
group04008,Nucleoside diphosphate kinase (EC 2.7.4.6)
group04009,None Provided
group04010,None Provided
group04011,None Provided
group04012,None Provided
group04013,hypothetical protein
group04014,None Provided
group04015,None Provided
group04016,None Provided
group04017,Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-)
group04018,None Provided
group04019,None Provided
group04020,None Provided
group04021,None Provided
group04022,None Provided
group04023,Magnesium and cobalt efflux protein CorC
group04024,Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)
group04025,None Provided
group04026,None Provided
group04027,1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)
group04028,None Provided
group04029,None Provided
group04030,N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23) / Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)
group04031,"FIG007959: peptidase, M16 family"
group04032,None Provided
group04033,"Nucleoside ABC transporter, permease protein 2"
group04034,None Provided
group04035,None Provided
group04036,None Provided
group04037,None Provided
group04038,None Provided
group04039,None Provided
group04040,None Provided
group04041,GTP-binding protein TypA/BipA
group04042,None Provided
group04043,"Hypothetical, related to broad specificity phosphatases COG0406"
group04044,hypothetical protein
group04045,ATP synthase alpha chain (EC 3.6.3.14)
group04046,None Provided
group04047,ATP synthase protein I
group04048,hypothetical protein
group04049,SSU ribosomal protein S20p
group04050,Pyridoxamine 5-phosphate oxidase (EC 1.4.3.5)
group04051,None Provided
group04052,None Provided
group04053,None Provided
group04054,None Provided
group04055,Cell division protein MraZ
group04056,None Provided
group04057,RecA protein
group04058,hypothetical protein
group04059,DNA polymerase I (EC 2.7.7.7)
group04060,None Provided
group04061,None Provided
group04062,None Provided
group04063,None Provided
group04064,hypothetical protein
group04065,None Provided
group04066,LSU ribosomal protein L13p (L13Ae)
group04067,None Provided
group04068,None Provided
group04069,None Provided
group04070,None Provided
group04071,DNA topoisomerase I (EC 5.99.1.2)
group04072,None Provided
group04073,None Provided
group04074,None Provided
group04075,None Provided
group04076,hypothetical protein
group04077,None Provided
group04078,None Provided
group04079,None Provided
group04080,None Provided
group04081,Cysteinyl-tRNA synthetase (EC 6.1.1.16)
group04082,None Provided
group04083,None Provided
group04084,None Provided
group04085,None Provided
group04086,None Provided
group04087,None Provided
group04088,None Provided
group04089,None Provided
group04090,None Provided
group04091,None Provided
group04092,ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17)
group04093,Preprotein translocase secY subunit (TC 3.A.5.1.1)
group04094,None Provided
group04095,None Provided
group04096,None Provided
group04097,None Provided
group04098,None Provided
group04099,None Provided
group04100,None Provided
group04101,None Provided
group04102,None Provided
group04103,FIG001886: Cytoplasmic hypothetical protein
group04104,5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19)
group04105,"Cysteine desulfurase (EC 2.8.1.7), SufS subfamily"
group04106,None Provided
group04107,None Provided
group04108,None Provided
group04109,None Provided
group04110,None Provided
group04111,Methylthioribose-1-phosphate isomerase (EC 5.3.1.23)
group04112,None Provided
group04113,None Provided
group04114,None Provided
group04115,None Provided
group04116,None Provided
group04117,None Provided
group04118,None Provided
group04119,None Provided
group04120,None Provided
group04121,None Provided
group04122,None Provided
group04123,None Provided
group04124,None Provided
group04125,None Provided
group04126,None Provided
group04127,None Provided
group04128,putative oxidoreductase
group04129,None Provided
group04130,None Provided
group04131,None Provided
group04132,None Provided
group04133,None Provided
group04134,None Provided
group04135,None Provided
group04136,None Provided
group04137,hypothetical protein
group04138,None Provided
group04139,None Provided
group04140,None Provided
group04141,None Provided
group04142,None Provided
group04143,None Provided
group04144,None Provided
group04145,Alpha-glucoside transport system permease protein AglG
group04146,None Provided
group04147,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
group04148,None Provided
group04149,None Provided
group04150,None Provided
group04151,1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)
group04152,None Provided
group04153,Cysteine synthase (EC 2.5.1.47)
group04154,None Provided
group04155,None Provided
group04156,Ribonuclease J2 (endoribonuclease in RNA processing)
group04157,None Provided
group04158,None Provided
group04159,Fructokinase (EC 2.7.1.4)
group04160,hypothetical protein
group04161,hypothetical protein
group04162,None Provided
group04163,"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)"
group04164,hypothetical protein
group04165,hypothetical protein
group04166,None Provided
group04167,hypothetical protein
group04168,"Transcriptional regulator, AsnC family"
group04169,None Provided
group04170,hypothetical protein
group04171,Ccs1/ResB-related putative cytochrome C-type biogenesis protein
group04172,hypothetical protein
group04173,None Provided
group04174,Adenosine deaminase (EC 3.5.4.4)
group04175,Pyruvate kinase (EC 2.7.1.40)
group04176,Transketolase (EC 2.2.1.1)
group04177,None Provided
group04178,GTP cyclohydrolase I (EC 3.5.4.16) type 1
group04179,"transcriptional regulator, XRE family"
group04180,3-dehydroquinate synthase (EC 4.2.3.4)
group04181,FIG00344945: hypothetical protein
group04182,None Provided
group04183,tRNA(Ile)-lysidine synthetase (EC 6.3.4.19)
group04184,Deoxyribose-phosphate aldolase (EC 4.1.2.4)
group04185,Aldehyde dehydrogenase (EC 1.2.1.3)
group04186,D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)
group04187,Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)
group04188,None Provided
group04189,GDP-fucose synthetase
group04190,None Provided
group04191,None Provided
group04192,None Provided
group04193,hypothetical protein
group04194,Iron-sulfur cluster regulator SufR
group04195,None Provided
group04196,None Provided
group04197,Deoxyribose-phosphate aldolase (EC 4.1.2.4)
group04198,hypothetical protein
group04199,hypothetical protein
group04200,None Provided
group04201,None Provided
group04202,None Provided
group04203,hypothetical protein
group04204,None Provided
group04205,Twin-arginine translocation protein TatC
group04206,Cytosol aminopeptidase PepA (EC 3.4.11.1)
group04207,None Provided
group04208,Sporulation regulatory protein WhiB
group04209,hypothetical protein
group04210,None Provided
group04211,None Provided
group04212,Aspartate carbamoyltransferase (EC 2.1.3.2)
group04213,None Provided
group04214,None Provided
group04215,Diaminopimelate decarboxylase (EC 4.1.1.20)
group04216,Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)
group04217,"Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly"
group04218,None Provided
group04219,None Provided
group04220,None Provided
group04221,None Provided
group04222,None Provided
group04223,hypothetical protein
group04224,None Provided
group04225,Cytochrome c-type biogenesis protein ResA
group04226,None Provided
group04227,hypothetical protein
group04228,None Provided
group04229,DNA primase (EC 2.7.7.-)
group04230,None Provided
group04231,None Provided
group04232,None Provided
group04233,None Provided
group04234,None Provided
group04235,None Provided
group04236,None Provided
group04237,None Provided
group04238,None Provided
group04239,None Provided
group04240,None Provided
group04241,None Provided
group04242,Lipoate-protein ligase A
group04243,Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)
group04244,None Provided
group04245,hypothetical protein
group04246,None Provided
group04247,Aspartate aminotransferase (EC 2.6.1.1)
group04248,None Provided
group04249,None Provided
group04250,None Provided
group04251,None Provided
group04252,None Provided
group04253,None Provided
group04254,None Provided
group04255,hypothetical protein
group04256,None Provided
group04257,hypothetical protein
group04258,None Provided
group04259,None Provided
group04260,hypothetical protein
group04261,None Provided
group04262,None Provided
group04263,None Provided
group04264,None Provided
group04265,hypothetical protein
group04266,None Provided
group04267,Hydroxyacylglutathione hydrolase (EC 3.1.2.6)
group04268,Hydroxyacylglutathione hydrolase (EC 3.1.2.6)
group04269,None Provided
group04270,None Provided
group04271,Protein-export membrane protein SecD (TC 3.A.5.1.1)
group04272,Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)
group04273,putative succinate dehydrogenase membrane anchor subunit (succinic dehydrogenase)
group04274,None Provided
group04275,None Provided
group04276,NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)
group04277,O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)
group04278,D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)
group04279,None Provided
group04280,None Provided
group04281,None Provided
group04282,None Provided
group04283,"ATP-dependent Clp protease, ATP-binding subunit ClpC / Negative regulator of genetic competence clcC/mecB"
group04284,None Provided
group04285,None Provided
group04286,None Provided
group04287,None Provided
group04288,None Provided
group04289,None Provided
group04290,None Provided
group04291,None Provided
group04292,Translation elongation factor Tu
group04293,LSU ribosomal protein L22p (L17e)
group04294,None Provided
group04295,None Provided
group04296,None Provided
group04297,hypothetical protein
group04298,None Provided
group04299,None Provided
group04300,None Provided
group04301,None Provided
group04302,None Provided
group04303,DNA recombination and repair protein RecF
group04304,None Provided
group04305,None Provided
group04306,None Provided
group04307,None Provided
group04308,None Provided
group04309,None Provided
group04310,None Provided
group04311,None Provided
group04312,None Provided
group04313,None Provided
group04314,None Provided
group04315,None Provided
group04316,None Provided
group04317,None Provided
group04318,None Provided
group04319,None Provided
group04320,None Provided
group04321,hypothetical protein
group04322,None Provided
group04323,None Provided
group04324,None Provided
group04325,None Provided
group04326,None Provided
group04327,None Provided
group04328,None Provided
group04329,None Provided
group04330,None Provided
group04331,None Provided
group04332,None Provided
group04333,None Provided
group04334,None Provided
group04335,None Provided
group04336,None Provided
group04337,None Provided
group04338,None Provided
group04339,None Provided
group04340,None Provided
group04341,None Provided
group04342,None Provided
group04343,None Provided
group04344,None Provided
group04345,None Provided
group04346,None Provided
group04347,None Provided
group04348,None Provided
group04349,None Provided
group04350,None Provided
group04351,None Provided
group04352,None Provided
group04353,None Provided
group04354,None Provided
group04355,None Provided
group04356,Ser/Thr protein phosphatase family protein
group04357,None Provided
group04358,None Provided
group04359,None Provided
group04360,None Provided
group04361,None Provided
group04362,None Provided
group04363,None Provided
group04364,None Provided
group04365,None Provided
group04366,hypothetical protein
group04367,Phage tail fiber protein
group04368,None Provided
group04369,None Provided
group04370,None Provided
group04371,None Provided
group04372,None Provided
group04373,None Provided
group04374,None Provided
group04375,hypothetical protein
group04376,None Provided
group04377,None Provided
group04378,None Provided
group04379,None Provided
group04380,None Provided
group04381,None Provided
group04382,hypothetical protein
group04383,None Provided
group04384,hypothetical protein
group04385,None Provided
group04386,None Provided
group04387,None Provided
group04388,None Provided
group04389,None Provided
group04390,None Provided
group04391,None Provided
group04392,None Provided
group04393,None Provided
group04394,hypothetical protein
group04395,"RidA/YER057c/UK114 superfamily, group 1"
group04396,None Provided
group04397,None Provided
group04398,None Provided
group04399,None Provided
group04400,None Provided
group04401,hypothetical protein
group04402,None Provided
group04403,None Provided
group04404,None Provided
group04405,None Provided
group04406,None Provided
group04407,None Provided
group04408,None Provided
group04409,None Provided
group04410,None Provided
group04411,None Provided
group04412,None Provided
group04413,None Provided
group04414,None Provided
group04415,None Provided
group04416,None Provided
group04417,None Provided
group04418,None Provided
group04419,None Provided
group04420,None Provided
group04421,hypothetical protein
group04422,None Provided
group04423,None Provided
group04424,hypothetical protein
group04425,None Provided
group04426,None Provided
group04427,None Provided
group04428,hypothetical protein
group04429,None Provided
group04430,None Provided
group04431,None Provided
group04432,hypothetical protein
group04433,None Provided
group04434,None Provided
group04435,hypothetical protein
group04436,None Provided
group04437,hypothetical protein
group04438,None Provided
group04439,None Provided
group04440,hypothetical protein
group04441,None Provided
group04442,None Provided
group04443,hypothetical protein
group04444,probable iron binding protein from the HesB_IscA_SufA family
group04445,hypothetical protein
group04446,Adenosylhomocysteinase (EC 3.3.1.1)
group04447,None Provided
group04448,Cytosol aminopeptidase PepA (EC 3.4.11.1)
group04449,None Provided
group04450,None Provided
group04451,None Provided
group04452,None Provided
group04453,hypothetical protein
group04454,None Provided
group04455,None Provided
group04456,Iron binding protein IscA for iron-sulfur cluster assembly
group04457,None Provided
group04458,None Provided
group04459,None Provided
group04460,None Provided
group04461,None Provided
group04462,hypothetical protein
group04463,hypothetical protein
group04464,None Provided
group04465,None Provided
group04466,None Provided
group04467,None Provided
group04468,hypothetical protein
group04469,None Provided
group04470,None Provided
group04471,hypothetical protein
group04472,hypothetical protein
group04473,None Provided
group04474,None Provided
group04475,None Provided
group04476,Ketol-acid reductoisomerase (EC 1.1.1.86)
group04477,None Provided
group04478,hypothetical protein
group04479,hypothetical protein
group04480,Amino acid/metabolite permease in hypothetical Actinobacterial gene cluster; BAT1-like
group04481,hypothetical protein
group04482,None Provided
group04483,None Provided
group04484,None Provided
group04485,None Provided
group04486,None Provided
group04487,Replication factor C small subunit
group04488,None Provided
group04489,"Phosphate starvation-inducible protein PhoH, predicted ATPase"
group04490,None Provided
group04491,None Provided
group04492,None Provided
group04493,None Provided
group04494,None Provided
group04495,None Provided
group04496,None Provided
group04497,tmRNA-binding protein SmpB
group04498,hypothetical protein
group04499,None Provided
group04500,hypothetical protein
group04501,None Provided
group04502,None Provided
group04503,hypothetical protein
group04504,hypothetical protein
group04505,None Provided
group04506,None Provided
group04507,None Provided
group04508,hypothetical protein
group04509,None Provided
group04510,None Provided
group04511,rRNA small subunit methyltransferase H
group04512,Peptide chain release factor 2
group04513,hypothetical protein
group04514,hypothetical protein
group04515,None Provided
group04516,GTP cyclohydrolase I (EC 3.5.4.16) type 1
group04517,None Provided
group04518,None Provided
group04519,None Provided
group04520,16S rRNA (cytosine(967)-C(5))-methyltransferase (EC 2.1.1.176)
group04521,Alanine dehydrogenase (EC 1.4.1.1)
group04522,None Provided
group04523,hypothetical protein
group04524,None Provided
group04525,hypothetical protein
group04526,None Provided
group04527,None Provided
